"file","spp_name","file_binomial","aou","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","range_overlap"
"Ortalis_vetula_22678305.shp","Ortalis_vetula","Ortalis vetula",3110,"Plain Chachalaca","Cracidae","Ortalis","vetula","Ortalis vetula",NA,NA,"Ortalis_vetula",NA,0.0392156862745098
"Oreortyx_pictus_22679591.shp","Oreortyx_pictus","Oreortyx pictus",2920,"Mountain Quail","Odontophoridae","Oreortyx","pictus","Oreortyx pictus",NA,NA,"Oreortyx_pictus",NA,0.205128205128205
"Colinus_virginianus_22728956.shp","Colinus_virginianus","Colinus virginianus",2890,"Northern Bobwhite","Odontophoridae","Colinus","virginianus","Colinus virginianus",NA,NA,"Colinus_virginianus",NA,0.511574074074074
"Callipepla_squamata_22679594.shp","Callipepla_squamata","Callipepla squamata",2930,"Scaled Quail","Odontophoridae","Callipepla","squamata","Callipepla squamata",NA,NA,"Callipepla_squamata",NA,0.147286821705426
"Callipepla_californica_22679603.shp","Callipepla_californica","Callipepla californica",2940,"California Quail","Odontophoridae","Callipepla","californica","Callipepla californica",NA,NA,"Callipepla_californica",NA,0.151260504201681
"Callipepla_gambelii_22679609.shp","Callipepla_gambelii","Callipepla gambelii",2950,"Gambel's Quail","Odontophoridae","Callipepla","gambelii","Callipepla gambelii",NA,NA,"Callipepla_gambelii",NA,0.0943396226415094
"Cyrtonyx_montezumae_22728212.shp","Cyrtonyx_montezumae","Cyrtonyx montezumae",2960,"Montezuma Quail","Odontophoridae","Cyrtonyx","montezumae","Cyrtonyx montezumae",NA,NA,"Cyrtonyx_montezumae",NA,0.0615384615384615
"Alectoris_chukar_22678691.shp","Alectoris_chukar","Alectoris chukar",2882,"Chukar","Phasianidae","Alectoris","chukar","Alectoris chukar",NA,NA,"Alectoris_chukar",NA,0.0212164073550212
"Perdix_perdix_22678911.shp","Perdix_perdix","Perdix perdix",2881,"Gray Partridge","Phasianidae","Perdix","perdix","Perdix perdix",NA,NA,"Perdix_perdix",NA,0.122289679098005
"Phasianus_colchicus_45100023.shp","Phasianus_colchicus","Phasianus colchicus",3091,"Ring-necked Pheasant","Phasianidae","Phasianus","colchicus","Phasianus colchicus",NA,NA,"Phasianus_colchicus",NA,0.0580693815987934
"Pavo_cristatus_22679435.shp","Pavo_cristatus","Pavo cristatus",3095,"Indian Peafowl","Phasianidae","Pavo","cristatus","Pavo cristatus",NA,NA,"Pavo_cristatus",NA,0.0117302052785924
"Bonasa_umbellus_22679500.shp","Bonasa_umbellus","Bonasa umbellus",3000,"Ruffed Grouse","Phasianidae","Bonasa","umbellus","Bonasa umbellus",NA,NA,"Bonasa_umbellus",NA,0.126721763085399
"Centrocercus_urophasianus_22679503.shp","Centrocercus_urophasianus","Centrocercus urophasianus",3090,"Greater Sage-Grouse","Phasianidae","Centrocercus","urophasianus","Centrocercus urophasianus",NA,NA,"Centrocercus_urophasianus",NA,0.129251700680272
"Centrocercus_minimus_22728472.shp","Centrocercus_minimus","Centrocercus minimus",3089,"Gunnison Sage-Grouse","Phasianidae","Centrocercus","minimus","Centrocercus minimus",NA,NA,"Centrocercus_minimus",NA,0
"Falcipennis_canadensis_61204079.shp","Falcipennis_canadensis","Falcipennis canadensis",2980,"Spruce Grouse","Phasianidae","Falcipennis","canadensis","Falcipennis canadensis",NA,NA,"Falcipennis_canadensis",NA,0.0237452779276848
"Lagopus_lagopus_22679460.shp","Lagopus_lagopus","Lagopus lagopus",3010,"Willow Ptarmigan","Phasianidae","Lagopus","lagopus","Lagopus lagopus",NA,NA,"Lagopus_lagopus",NA,0.00050358806496286
"Lagopus_muta_22679464.shp","Lagopus_muta","Lagopus muta",3020,"Rock Ptarmigan","Phasianidae","Lagopus","muta","Lagopus muta",NA,NA,"Lagopus_muta",NA,0
"Lagopus_leucura_22679473.shp","Lagopus_leucura","Lagopus leucura",3040,"White-tailed Ptarmigan","Phasianidae","Lagopus","leucura","Lagopus leucura",NA,NA,"Lagopus_leucura",NA,0.0186567164179104
"Dendragapus_obscurus_22734690.shp","Dendragapus_obscurus","Dendragapus obscurus",2970,"Dusky Grouse","Phasianidae","Dendragapus","obscurus","Dendragapus obscurus",NA,NA,"Dendragapus_obscurus",NA,0.0439024390243902
"Dendragapus_fuliginosus_22734695.shp","Dendragapus_fuliginosus","Dendragapus fuliginosus",2971,"Sooty Grouse","Phasianidae","Dendragapus","fuliginosus","Dendragapus fuliginosus",NA,NA,"Dendragapus_fuliginosus",NA,0.1
"Tympanuchus_phasianellus_22679511.shp","Tympanuchus_phasianellus","Tympanuchus phasianellus",3080,"Sharp-tailed Grouse","Phasianidae","Tympanuchus","phasianellus","Tympanuchus phasianellus",NA,NA,"Tympanuchus_phasianellus",NA,0.0549199084668192
"Tympanuchus_cupido_22679514.shp","Tympanuchus_cupido","Tympanuchus cupido",3050,"Greater Prairie-Chicken","Phasianidae","Tympanuchus","cupido","Tympanuchus cupido",NA,NA,"Tympanuchus_cupido",NA,0.422222222222222
"Tympanuchus_pallidicinctus_22679519.shp","Tympanuchus_pallidicinctus","Tympanuchus pallidicinctus",3070,"Lesser Prairie-Chicken","Phasianidae","Tympanuchus","pallidicinctus","Tympanuchus pallidicinctus",NA,NA,"Tympanuchus_pallidicinctus",NA,0.333333333333333
